column1,enrollments,h1,institution,language,level,pace,price,subject,time_duration,url,video_transcript
214,"2,31,975",Becoming a Successful Leader (Inclusive Leadership Training),CatalystX,English,Introductory,Self-paced - Progress at your own speed,4040,Communication,4 weeks - 1–2 hours per week,https://www.edx.org/course/becoming-a-successful-leader-inclusive-leadershi-2?index=product&queryID=9da61ff552ead25f5eb495be25aff91a&position=23&results_level=second-level-results&search_index=product&term=&campaign=Becoming+a+Successful+Leader+%28Inclusive+Leadership+Training%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
215,"11,277",Business Writing Techniques,DoaneX,English,Introductory,Self-paced - Progress at your own speed,12286,Communication,4 weeks - 5–8 hours per week,https://www.edx.org/course/business-writing-techniques?index=product&queryID=9da61ff552ead25f5eb495be25aff91a&position=24&results_level=second-level-results&search_index=product&term=&campaign=Business+Writing+Techniques&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
216,"65,611",C Programming: Language Foundations,DartmouthX,English,Introductory,Self-paced - Progress at your own speed,6514,IMTx,5 weeks - 2–4 hours per week,https://www.edx.org/course/c-programming-language-foundations?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=1&results_level=second-level-results&search_index=product&term=&campaign=C+Programming%3A+Language+Foundations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
217,"36,812",Introduction to Astrophysics,EPFLx,English,Introductory,Self-paced - Progress at your own speed,11462,Physics,7 weeks - 3–4 hours per week,https://www.edx.org/course/introduction-to-astrophysics?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=3&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Astrophysics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
218,"15,359",Advanced Fluid Mechanics 1: Fundamentals,MITx,English,Advanced,Self-paced - Progress at your own speed,8163,Engineering,12 weeks - 8–12 hours per week,https://www.edx.org/course/advanced-fluid-mechanics-1?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=4&results_level=second-level-results&search_index=product&term=&campaign=Advanced+Fluid+Mechanics+1%3A+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
219,"51,681",Bases Matemáticas: Álgebra,UPValenciaX,Español,Introductory,Self-paced - Progress at your own speed,2391,Math,4 weeks - 3–4 hours per week,https://www.edx.org/course/bases-matematicas-algebra?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=5&results_level=second-level-results&search_index=product&term=&campaign=Bases+Matem%C3%A1ticas%3A+%C3%81lgebra&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
220,"42,888","Nutrition, Heart Disease and Diabetes",WageningenX,English,Intermediate,Self-paced - Progress at your own speed,12286,Food & Nutrition,5 weeks - 6–8 hours per week,https://www.edx.org/course/nutrition-heart-disease-and-diabetes?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=6&results_level=second-level-results&search_index=product&term=&campaign=Nutrition%2C+Heart+Disease+and+Diabetes&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
221,"76,620",Precalculus,ASUx,English,Intermediate,Self-paced - Progress at your own speed,4040,Math,15 weeks - 9–10 hours per week,https://www.edx.org/course/precalculus?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=7&results_level=second-level-results&search_index=product&term=&campaign=Precalculus&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
222,-,Getting Started with Spark AR,Meta,English,Introductory,Self-paced - Progress at your own speed,12286,Design,4 weeks - 16–20 hours per week,https://www.edx.org/course/getting-started-with-spark-ar?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=8&results_level=second-level-results&search_index=product&term=&campaign=Getting+Started+with+Spark+AR&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
223,"11,089",Google AI for JavaScript developers with TensorFlow.js,Google,English,Introductory,Self-paced - Progress at your own speed,16409,Computer Science,7 weeks - 3–4 hours per week,https://www.edx.org/course/google-ai-for-javascript-developers-with-tensorflowjs?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=9&results_level=second-level-results&search_index=product&term=&campaign=Google+AI+for+JavaScript+developers+with+TensorFlow.js&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
224,"36,298",Italian Language and Culture: Advanced (2023-2024),WellesleyX,Italiano,Advanced,Self-paced - Progress at your own speed,4040,Language,12 weeks - 3–5 hours per week,https://www.edx.org/course/italian-language-and-culture-advanced-2023-2024?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=10&results_level=second-level-results&search_index=product&term=&campaign=Italian+Language+and+Culture%3A+Advanced+%282023-2024%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Italiano
225,"29,369",Climate Change: The Science and Global Impact,SDGAcademyX,English,Intermediate,Self-paced - Progress at your own speed,0,Energy & Earth Sciences,8 weeks - 2–4 hours per week,https://www.edx.org/course/climate-change-the-science-and-global-impact?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=11&results_level=second-level-results&search_index=product&term=&campaign=Climate+Change%3A+The+Science+and+Global+Impact&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
226,"79,662",Project Management for Development,IDBx,English,Intermediate,Self-paced - Progress at your own speed,4040,Business & Management,10 weeks - 2–3 hours per week,https://www.edx.org/course/project-management-for-development?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=12&results_level=second-level-results&search_index=product&term=&campaign=Project+Management+for+Development&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
267,-,Mathematics 1 Part 1: Differential Calculus,LSE,English,Intermediate,Self-paced - Progress at your own speed,16426,Math,5 weeks - 12–15 hours per week,https://www.edx.org/course/maths-1a?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=5&results_level=second-level-results&search_index=product&term=&campaign=Mathematics+1+Part+1%3A+Differential+Calculus&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
227,"1,29,158",Probability and Statistics in Data Science using Python,UCSanDiegoX,English,Advanced,Self-paced - Progress at your own speed,28860,Data Analysis & Statistics,10 weeks - 10–12 hours per week,https://www.edx.org/course/probability-and-statistics-in-data-science-using-p?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=13&results_level=second-level-results&search_index=product&term=&campaign=Probability+and+Statistics+in+Data+Science+using+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
228,"29,958",Global Public Health,SDGAcademyX,English,Intermediate,Self-paced - Progress at your own speed,0,Health & Safety,10 weeks - 4–6 hours per week,https://www.edx.org/course/global-public-health?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=14&results_level=second-level-results&search_index=product&term=&campaign=Global+Public+Health&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
229,"94,715",International Human Rights Law,LouvainX,English,Advanced,Self-paced - Progress at your own speed,16409,Law,12 weeks - 6–8 hours per week,https://www.edx.org/course/international-human-rights-law?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=15&results_level=second-level-results&search_index=product&term=&campaign=International+Human+Rights+Law&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
230,"88,715",Strategic Management,IIMBx,English,Introductory,Self-paced - Progress at your own speed,12369,Business & Management,5 weeks - 3–5 hours per week,https://www.edx.org/course/strategic-management?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=16&results_level=second-level-results&search_index=product&term=&campaign=Strategic+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," English, हिन्दी"
231,"30,374",Introducción a las finanzas: Principios de valoración,URosarioX,Español,Intermediate,Self-paced - Progress at your own speed,2391,Economics & Finance,4 weeks - 6–10 hours per week,https://www.edx.org/course/introduccion-a-las-finanzas-principios-de-valoraci?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=17&results_level=second-level-results&search_index=product&term=&campaign=Introducci%C3%B3n+a+las+finanzas%3A+Principios+de+valoraci%C3%B3n&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
232,-,Francés Introductorio,AnahuacX,Español,Introductory,Self-paced - Progress at your own speed,2391,Language,5 weeks - 5–8 hours per week,https://www.edx.org/course/frances-introductorio?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=18&results_level=second-level-results&search_index=product&term=&campaign=Franc%C3%A9s+Introductorio&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
233,-,Google Cloud Computing Foundations: Infrastructure in Google Cloud,GoogleCloud,English,Introductory,Self-paced - Progress at your own speed,8163,Computer Science,1 weeks - 5–6 hours per week,https://www.edx.org/course/google-cloud-computing-foundations-infrastructure-in-google-cloud?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=19&results_level=second-level-results&search_index=product&term=&campaign=Google+Cloud+Computing+Foundations%3A+Infrastructure+in+Google+Cloud&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
234,"60,836",Visualizing Data with Python,IBM,English,Intermediate,Self-paced - Progress at your own speed,8163,Data Analysis & Statistics,5 weeks - 2–4 hours per week,https://www.edx.org/course/visualizing-data-with-python?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=20&results_level=second-level-results&search_index=product&term=&campaign=Visualizing+Data+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,NA
235,"39,311",Habilidades de negociación y comunicación efectiva,TecdeMonterreyX,Español,Introductory,Self-paced - Progress at your own speed,12286,Business & Management,4 weeks - 5–8 hours per week,https://www.edx.org/course/habilidades-de-negociacion-y-comunicacion-efectiva?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=21&results_level=second-level-results&search_index=product&term=&campaign=Habilidades+de+negociaci%C3%B3n+y+comunicaci%C3%B3n+efectiva&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
236,"1,26,053",Six Sigma: Define and Measure,TUMx,English,Introductory,Self-paced - Progress at your own speed,8163,Business & Management,8 weeks - 3–4 hours per week,https://www.edx.org/course/six-sigma-define-and-measure?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=22&results_level=second-level-results&search_index=product&term=&campaign=Six+Sigma%3A+Define+and+Measure&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
237,"24,791",A travel by Spanish America: Spanish for beginners,URosarioX,Español,Introductory,Self-paced - Progress at your own speed,4040,Language,4 weeks - 4–6 hours per week,https://www.edx.org/course/un-viaje-por-hispanoamerica-espanol-inicial?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=23&results_level=second-level-results&search_index=product&term=&campaign=A+travel+by+Spanish+America%3A+Spanish+for+beginners&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
238,"56,233",Introduction to Aerospace Structures and Materials,DelftX,English,Introductory,Self-paced - Progress at your own speed,11462,Engineering,8 weeks - 4–6 hours per week,https://www.edx.org/course/introduction-to-aerospace-structures-and-materials?index=product&queryID=ff36b7df83b049c385c47f67851fab11&position=24&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Aerospace+Structures+and+Materials&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
239,"1,15,667",Philosophy and Critical Thinking,UQx,English,Introductory,Self-paced - Progress at your own speed,10637,Humanities,6 weeks - 1–4 hours per week,https://www.edx.org/course/philosophy-and-critical-thinking?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=1&results_level=second-level-results&search_index=product&term=&campaign=Philosophy+and+Critical+Thinking&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
399,"2,63,477",Supply Chain Analytics,MITx,English,Introductory,Instructor-paced - Instructor led on a course schedule,16409,Business & Management,15 weeks - 8–12 hours per week,https://www.edx.org/course/supply-chain-analytics," English, Español, 中文"
241,"16,562",Probability and Statistics I:  A Gentle Introduction to Probability,GTx,English,Intermediate,Self-paced - Progress at your own speed,16409,Data Analysis & Statistics,3 weeks - 6–10 hours per week,https://www.edx.org/course/probability-and-statistics-i-a-gentle-introduction-to-probability?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=3&results_level=second-level-results&search_index=product&term=&campaign=Probability+and+Statistics+I%3A++A+Gentle+Introduction+to+Probability&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
242,"1,15,986","Religion, Conflict and Peace",HarvardX,English,Introductory,Self-paced - Progress at your own speed,8163,Humanities,8 weeks - 4–8 hours per week,https://www.edx.org/course/religion-conflict-and-peace?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=4&results_level=second-level-results&search_index=product&term=&campaign=Religion%2C+Conflict+and+Peace&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
243,"35,274",Basic Spanish 3: Getting there,UPValenciaX,English,Introductory,Self-paced - Progress at your own speed,4123,Language,4 weeks - 3–4 hours per week,https://www.edx.org/course/basic-spanish-3-getting-there?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=5&results_level=second-level-results&search_index=product&term=&campaign=Basic+Spanish+3%3A+Getting+there&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," English, Español"
244,"1,07,693",Introduction to the Internet of Things (IoT),CurtinX,English,Introductory,Self-paced - Progress at your own speed,12286,Computer Science,6 weeks - 2–3 hours per week,https://www.edx.org/course/introduction-to-the-internet-of-things-iot?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=6&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+the+Internet+of+Things+%28IoT%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
245,"32,617",Data Processing and Analysis with Excel,RITx,English,Intermediate,Self-paced - Progress at your own speed,20532,Data Analysis & Statistics,4 weeks - 6–8 hours per week,https://www.edx.org/course/data-processing-and-analysis-with-excel?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=7&results_level=second-level-results&search_index=product&term=&campaign=Data+Processing+and+Analysis+with+Excel&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
246,"39,305","U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",HarvardX,English,Introductory,Self-paced - Progress at your own speed,8163,Social Sciences,4 weeks - 2–4 hours per week,https://www.edx.org/course/us-political-institutions-congress-presidency-cour?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=8&results_level=second-level-results&search_index=product&term=&campaign=U.S.+Political+Institutions%3A+Congress%2C+Presidency%2C+Courts%2C+and+Bureaucracy&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
247,"39,105",The Einstein Revolution,HarvardX,English,Introductory,Self-paced - Progress at your own speed,8163,Humanities,14 weeks - 2–3 hours per week,https://www.edx.org/course/the-einstein-revolution?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=9&results_level=second-level-results&search_index=product&term=&campaign=The+Einstein+Revolution&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
248,-,Your Body Inside and Out: Using Exercise Physiology to Slow Aging,StanfordOnline,English,Introductory,Self-paced - Progress at your own speed,4123,Biology & Life Sciences,8 weeks - 2–4 hours per week,https://www.edx.org/course/new-your-body-inside-and-out-using-exercise-physiology-to-slow-aging?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=10&results_level=second-level-results&search_index=product&term=&campaign=Your+Body+Inside+and+Out%3A+Using+Exercise+Physiology+to+Slow+Aging&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
249,"50,805",Mindfulness and Resilience to Stress at Work,BerkeleyX,English,Introductory,Self-paced - Progress at your own speed,16409,Business & Management,4 weeks - 1–2 hours per week,https://www.edx.org/course/mindfulness-and-resilience-to-stress-at-work?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=11&results_level=second-level-results&search_index=product&term=&campaign=Mindfulness+and+Resilience+to+Stress+at+Work&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
250,"62,102",Data Analysis Essentials,ImperialBusinessX,English,Introductory,Self-paced - Progress at your own speed,6514,ImperialX,6 weeks - 4–6 hours per week,https://www.edx.org/course/data-analysis-essentials?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=12&results_level=second-level-results&search_index=product&term=&campaign=Data+Analysis+Essentials&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
251,"1,04,021",Linear Algebra - Foundations to Frontiers,UTAustinX,English,Intermediate,Self-paced - Progress at your own speed,8163,Computer Science,15 weeks - 6–10 hours per week,https://www.edx.org/course/linear-algebra-foundations-to-frontiers?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=13&results_level=second-level-results&search_index=product&term=&campaign=Linear+Algebra+-+Foundations+to+Frontiers&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
252,-,"Statistics 1 Part 1: Introductory statistics, probability and estimation",LSE,English,Intermediate,Self-paced - Progress at your own speed,16426,Data Analysis & Statistics,5 weeks - 12–15 hours per week,https://www.edx.org/course/statistics-1-part-1?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=14&results_level=second-level-results&search_index=product&term=&campaign=Statistics+1+Part+1%3A+Introductory+statistics%2C+probability+and+estimation&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
253,"46,349",Agile Leadership Principles and Practices,UMD,English,Advanced,Self-paced - Progress at your own speed,16409,USMx,4 weeks - 2–3 hours per week,https://www.edx.org/course/agile-leadership-principles-2?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=15&results_level=second-level-results&search_index=product&term=&campaign=Agile+Leadership+Principles+and+Practices&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
254,-,Entrepreneurship For All (Part I): Idea to Launch,BerkeleyX,English,Intermediate,Self-paced - Progress at your own speed,16409,Business & Management,6 weeks - 4–7 hours per week,https://www.edx.org/course/idea-to-launch?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=16&results_level=second-level-results&search_index=product&term=&campaign=Entrepreneurship+For+All+%28Part+I%29%3A+Idea+to+Launch&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
255,"9,946",Collaborative Data Science for Healthcare,MITx,English,Advanced,Self-paced - Progress at your own speed,4040,Data Analysis & Statistics,12 weeks - 2–3 hours per week,https://www.edx.org/course/collaborative-data-science-for-healthcare?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=17&results_level=second-level-results&search_index=product&term=&campaign=Collaborative+Data+Science+for+Healthcare&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
256,"9,390",Edición de vídeo y postproducción con DaVinci Resolve,UC3Mx,Español,Introductory,Self-paced - Progress at your own speed,2391,Communication,6 weeks - 3–4 hours per week,https://www.edx.org/course/edicion-de-video-y-postproduccion-con-davinci-resolve?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=18&results_level=second-level-results&search_index=product&term=&campaign=Edici%C3%B3n+de+v%C3%ADdeo+y+postproducci%C3%B3n+con+DaVinci+Resolve&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
257,"20,374",Information Technology Foundations,WGUx,English,Introductory,Self-paced - Progress at your own speed,18330,Computer Science,6 weeks - 9–10 hours per week,https://www.edx.org/course/information-technology-foundations?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=19&results_level=second-level-results&search_index=product&term=&campaign=Information+Technology+Foundations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
258,"58,267",Maths Essentials,ImperialBusinessX,English,Introductory,Self-paced - Progress at your own speed,6514,ImperialX,6 weeks - 2–5 hours per week,https://www.edx.org/course/maths-essentials?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=20&results_level=second-level-results&search_index=product&term=&campaign=Maths+Essentials&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
259,"69,378",The Opioid Crisis in America,HarvardX,English,Introductory,Self-paced - Progress at your own speed,8163,Medicine,10 weeks - 1–2 hours per week,https://www.edx.org/course/the-opioid-crisis-in-america?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=21&results_level=second-level-results&search_index=product&term=&campaign=The+Opioid+Crisis+in+America&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
260,-,DevOps Basics for Everyone,IBM,English,Introductory,Self-paced - Progress at your own speed,8163,Computer Science,3 weeks - 3–4 hours per week,https://www.edx.org/course/devops-basics-for-everyone?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=22&results_level=second-level-results&search_index=product&term=&campaign=DevOps+Basics+for+Everyone&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
261,"50,037",Financial Accounting Made Fun: Eliminating Your Fears,BabsonX,English,Introductory,Self-paced - Progress at your own speed,16409,Business & Management,4 weeks - 4–6 hours per week,https://www.edx.org/course/financial-accounting-made-fun-eliminating-your-fea?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=23&results_level=second-level-results&search_index=product&term=&campaign=Financial+Accounting+Made+Fun%3A+Eliminating+Your+Fears&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,NA
262,"41,503",Introducción a la Regulación Emocional basada en Mindfulness,UAMx,Español,Introductory,Self-paced - Progress at your own speed,2391,Health & Safety,5 weeks - 3–5 hours per week,https://www.edx.org/course/introduccion-a-la-regulacion-emocional-basada-en-m?index=product&queryID=26d4bb1ff50cd3e03c2309e58325b7e8&position=24&results_level=second-level-results&search_index=product&term=&campaign=Introducci%C3%B3n+a+la+Regulaci%C3%B3n+Emocional+basada+en+Mindfulness&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
263,"66,098",Circular Economy: An Introduction,DelftX,English,Introductory,Self-paced - Progress at your own speed,8163,Business & Management,7 weeks - 3–6 hours per week,https://www.edx.org/course/circular-economy-an-introduction?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=1&results_level=second-level-results&search_index=product&term=&campaign=Circular+Economy%3A+An+Introduction&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,NA
264,-,Beginners Guide to Cybersecurity,IBM,English,Introductory,Self-paced - Progress at your own speed,4040,Computer Science,4 weeks - 3–5 hours per week,https://www.edx.org/course/introduction-to-cybersecurity-3?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=2&results_level=second-level-results&search_index=product&term=&campaign=Beginners+Guide+to+Cybersecurity&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
265,"1,55,341",Improving Global Health: Focusing on Quality and Safety,HarvardX,English,Intermediate,Self-paced - Progress at your own speed,8163,Social Sciences,10 weeks - 2–4 hours per week,https://www.edx.org/course/improving-global-health-focusing-on-quality-and-sa?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=3&results_level=second-level-results&search_index=product&term=&campaign=Improving+Global+Health%3A+Focusing+on+Quality+and+Safety&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
266,-,"Building ETL and Data Pipelines with Bash, Airflow and Kafka",IBM,English,Introductory,Self-paced - Progress at your own speed,8163,Computer Science,5 weeks - 2–4 hours per week,https://www.edx.org/course/building-etl-and-data-pipelines-with-bash-airflow-and-kafka?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=4&results_level=second-level-results&search_index=product&term=&campaign=Building+ETL+and+Data+Pipelines+with+Bash%2C+Airflow+and+Kafka&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,NA
268,"16,730",Building your Screenplay,UniversityofCambridge,English,Intermediate,Self-paced - Progress at your own speed,16409,Communication,4 weeks - 8–10 hours per week,https://www.edx.org/course/building-your-screenplay?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=6&results_level=second-level-results&search_index=product&term=&campaign=Building+your+Screenplay&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
269,"65,894",Upper-Intermediate English: Business and Technology,UPValenciaX,English,Intermediate,Self-paced - Progress at your own speed,4123,Language,4 weeks - 3–5 hours per week,https://www.edx.org/course/upper-intermediate-english-technology-today?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=7&results_level=second-level-results&search_index=product&term=&campaign=Upper-Intermediate+English%3A+Business+and+Technology&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
270,"90,272",Supply Chain Dynamics,MITx,English,Advanced,Instructor-paced - Instructor led on a course schedule,24655,Business & Management,13 weeks - 8–12 hours per week,https://www.edx.org/course/supply-chain-dynamics?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=8&results_level=second-level-results&search_index=product&term=&campaign=Supply+Chain+Dynamics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
271,"77,783",Electric Cars: Introduction,DelftX,English,Intermediate,Self-paced - Progress at your own speed,8163,Engineering,4 weeks - 4–5 hours per week,https://www.edx.org/course/electric-cars-introduction?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=9&results_level=second-level-results&search_index=product&term=&campaign=Electric+Cars%3A%C2%A0Introduction&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
272,"18,320",Introducción a la Inteligencia Artificial,AnahuacX,Español,Introductory,Self-paced - Progress at your own speed,4040,Computer Science,4 weeks - 4–5 hours per week,https://www.edx.org/course/introduccion-a-la-inteligencia-artificial?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=10&results_level=second-level-results&search_index=product&term=&campaign=Introducci%C3%B3n+a+la+Inteligencia+Artificial&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
273,"7,523",R Programming Basics for Data Science,IBM,English,Introductory,Self-paced - Progress at your own speed,8163,Data Analysis & Statistics,5 weeks - 1–2 hours per week,https://www.edx.org/course/r-programming-basics-for-data-science?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=11&results_level=second-level-results&search_index=product&term=&campaign=R+Programming+Basics+for+Data+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
274,"31,327",Hello (Real) World with ROS – Robot Operating System,DelftX,English,Intermediate,Self-paced - Progress at your own speed,11462,Engineering,7 weeks - 8–12 hours per week,https://www.edx.org/course/hello-real-world-with-ros-robot-operating-system?index=product&queryID=88e03a0d7b28bd4719acb52d8d968a38&position=12&results_level=second-level-results&search_index=product&term=&campaign=Hello+%28Real%29+World+with+ROS+%E2%80%93+Robot+Operating+System&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
